"Rank","Name","Platform","Year","Publisher","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
8370,"Outlast Trinity","PS4",2017,"Warner Bros. Interactive Entertainment","Action",0.09,0.09,NA,0.04,0.22
8393,"Night in the Woods","PC",2017,"Unknown","Adventure",NA,NA,NA,NA,NA
8427,"Super Lucky's Tale","XOne",2017,"Microsoft Studios","Platform",0.13,0.07,NA,0.02,0.22
8482,"Senran Kagura: Peach Beach Splash","PS4",2017,"Xseed Games","Action",0.09,0.02,0.08,0.02,0.21
8489,"Ys VIII: Lacrimosa of Dana","PS4",2017,"NIS America","Role-Playing",0.08,0.04,0.08,0.02,0.21
8499,"Just Dance 2018","XOne",2017,"Ubisoft","Music",0.15,0.04,NA,0.02,0.21
8515,"Fate/Extella: The Umbral Star","NS",2017,"Xseed Games","Action",0.1,0.06,0.04,0.02,0.21
8561,"The Sims 4: Cats & Dogs","PC",2017,"Electronic Arts","Simulation",NA,0.2,NA,0.01,0.21
8627,"Dragon's Dogma: Dark Arisen","PS4",2017,"Capcom","Role-Playing",0.07,0.07,0.03,0.03,0.21
8635,"NBA Live 18","XOne",2017,"EA Sports","Sports",0.18,NA,NA,0.02,0.21
8643,"theHunter: Call of the Wild","XOne",2017,"THQ Nordic","Shooter",0.18,NA,NA,0.02,0.21
8672,"Dragon Quest Monsters: Joker 3 - Professional","3DS",2017,"Square Enix","Role-Playing",NA,NA,0.2,NA,0.2
8829,"Project CARS 2","XOne",2017,"Namco Bandai Games","Racing",0.01,0.18,NA,0.01,0.2
8892,"Agents of Mayhem","PS4",2017,"Deep Silver","Action",0.08,0.08,NA,0.03,0.2
9037,"Call of Duty: WWII","PC",2017,"Activision","Shooter",0.07,0.11,NA,0.01,0.19
9042,"Elite: Dangerous","PS4",2017,"Frontier Developments","Simulation",0.06,0.1,NA,0.03,0.19
9152,"A Hat in Time","PC",2017,"Gears for Breakfast","Platform",NA,NA,NA,NA,NA
9166,"Tokyo Xanadu","PSV",2017,"Aksys Games","Role-Playing",0.02,NA,0.16,0.01,0.19
9189,"The Surge","PS4",2017,"Focus Home Interactive","Action",0.07,0.08,0.01,0.03,0.19
9230,"F1 2017","XOne",2017,"Deep Silver","Racing",0.04,0.13,NA,0.01,0.19
9325,"Resident Evil: Revelations","PS4",2017,"Capcom","Action",0.06,0.06,0.04,0.02,0.18
9354,"Bomber Crew","PC",2017,"Curve Digital","Simulation",NA,NA,NA,NA,NA
9360,"Mobile Suit Gundam: Extreme VS Force","PSV",2017,"Namco Bandai Games","Action",NA,NA,0.18,NA,0.18
9424,"Danganronpa V3: Killing Harmony","PSV",2017,"NIS America","Adventure",0.02,0.01,0.13,0.01,0.18
9435,"Cities: Skylines","XOne",2017,"Koch Media","Simulation",0.13,0.03,NA,0.02,0.18
9465,"Sniper: Ghost Warrior 3","XOne",2017,"City Interactive","Shooter",0.11,0.05,NA,0.02,0.18
9523,"The Walking Dead - The Telltale Series: A New Frontier","PS4",2017,"Warner Bros. Interactive Entertainment","Adventure",0.11,0.04,NA,0.03,0.17
9564,"Rush: A Disney Pixar Adventure","XOne",2017,"Microsoft Studios","Adventure",0.15,NA,NA,0.02,0.17
